"IDs","systemIndex","activeFireBufferCount","activeFireCoreCount","forest","month","year","date","dayNaightCore","dayNightBuffer","areaBurnedBuffer","areaBurnedCore","rateBurnedBuffer","rateBurnedCore"
1,"0_2000_02_24",0,0,"Monts Kouffe",2,2000,2000-02-24,"Night","Night",0,0,0,0
2,"0_2000_02_25",0,0,"Monts Kouffe",2,2000,2000-02-25,"Day","Day",0,0,0,0
3,"0_2000_02_26",0,0,"Monts Kouffe",2,2000,2000-02-26,"Day","Day",0,0,0,0
4,"0_2000_02_27",0,0,"Monts Kouffe",2,2000,2000-02-27,"Day","Day",0,0,0,0
5,"0_2000_02_28",0,0,"Monts Kouffe",2,2000,2000-02-28,"Night","Night",0,0,0,0
6,"0_2000_02_29",0,1,"Monts Kouffe",2,2000,2000-02-29,"Day","Day",0,2.99,0,0.2
7,"0_2000_03_01",0,0,"Monts Kouffe",3,2000,2000-03-01,"Day","Day",0,0,0,0
8,"0_2000_03_02",0,0,"Monts Kouffe",3,2000,2000-03-02,"Day","Day",0,0,0,0
9,"0_2000_03_03",0,0,"Monts Kouffe",3,2000,2000-03-03,"Day","Day",0,0,0,0
10,"0_2000_03_04",1,1,"Monts Kouffe",3,2000,2000-03-04,"Day","Day",6.46,5.48,0.3,0.3
11,"0_2000_03_05",0,0,"Monts Kouffe",3,2000,2000-03-05,"Day","Day",0,0,0,0
12,"0_2000_03_06",0,0,"Monts Kouffe",3,2000,2000-03-06,"Day","Day",0,0,0,0
13,"0_2000_03_07",1,0,"Monts Kouffe",3,2000,2000-03-07,"Day","Day",0.63,0,0,0
14,"0_2000_03_08",0,0,"Monts Kouffe",3,2000,2000-03-08,"Night","Night",0,0,0,0
15,"0_2000_03_09",1,1,"Monts Kouffe",3,2000,2000-03-09,"Day","Day",5.97,1,0.3,0.1
16,"0_2000_03_10",0,0,"Monts Kouffe",3,2000,2000-03-10,"Day","Day",0,0,0,0
17,"0_2000_03_11",0,0,"Monts Kouffe",3,2000,2000-03-11,"Day","Day",0,0,0,0
18,"0_2000_03_12",0,0,"Monts Kouffe",3,2000,2000-03-12,"Day","Day",0,0,0,0
19,"0_2000_03_13",0,0,"Monts Kouffe",3,2000,2000-03-13,"Day","Day",0,0,0,0
20,"0_2000_03_14",1,1,"Monts Kouffe",3,2000,2000-03-14,"Day","Day",1.99,1,0.1,0.1
21,"0_2000_03_15",0,0,"Monts Kouffe",3,2000,2000-03-15,"Night","Night",0,0,0,0
22,"0_2000_03_16",0,0,"Monts Kouffe",3,2000,2000-03-16,"Day","Day",0,0,0,0
23,"0_2000_03_17",0,0,"Monts Kouffe",3,2000,2000-03-17,"Night","Night",0,0,0,0
24,"0_2000_03_18",0,0,"Monts Kouffe",3,2000,2000-03-18,"Day","Day",0,0,0,0
25,"0_2000_03_19",1,0,"Monts Kouffe",3,2000,2000-03-19,"Day","Day",4.49,0,0.2,0
26,"0_2000_03_20",0,0,"Monts Kouffe",3,2000,2000-03-20,"Night","Night",0,0,0,0
27,"0_2000_03_21",0,0,"Monts Kouffe",3,2000,2000-03-21,"Day","Day",0,0,0,0
28,"0_2000_03_22",0,0,"Monts Kouffe",3,2000,2000-03-22,"Day","Day",0,0,0,0
29,"0_2000_03_23",1,0,"Monts Kouffe",3,2000,2000-03-23,"Day","Day",1,0,0,0
30,"0_2000_03_24",0,0,"Monts Kouffe",3,2000,2000-03-24,"Night","Night",0,0,0,0
31,"0_2000_03_25",0,0,"Monts Kouffe",3,2000,2000-03-25,"Day","Day",0,0,0,0
32,"0_2000_03_26",0,0,"Monts Kouffe",3,2000,2000-03-26,"Day","Day",0,0,0,0
33,"0_2000_03_27",0,0,"Monts Kouffe",3,2000,2000-03-27,"Day","Day",0,0,0,0
34,"0_2000_03_28",0,0,"Monts Kouffe",3,2000,2000-03-28,"Day","Day",0,0,0,0
35,"0_2000_03_29",0,0,"Monts Kouffe",3,2000,2000-03-29,"Day","Day",0,0,0,0
36,"0_2000_03_30",0,0,"Monts Kouffe",3,2000,2000-03-30,"Day","Day",0,0,0,0
37,"0_2000_03_31",0,0,"Monts Kouffe",3,2000,2000-03-31,"Night","Night",0,0,0,0
38,"0_2000_04_01",0,0,"Monts Kouffe",4,2000,2000-04-01,"Day","Day",0,0,0,0
39,"0_2000_04_02",0,0,"Monts Kouffe",4,2000,2000-04-02,"Night","Day",0,0,0,0
40,"0_2000_04_03",0,0,"Monts Kouffe",4,2000,2000-04-03,"Day","Day",0,0,0,0
41,"0_2000_04_04",0,0,"Monts Kouffe",4,2000,2000-04-04,"Day","Day",0,0,0,0
42,"0_2000_04_05",0,0,"Monts Kouffe",4,2000,2000-04-05,"Night","Night",0,0,0,0
43,"0_2000_04_06",0,0,"Monts Kouffe",4,2000,2000-04-06,"Day","Day",0,0,0,0
44,"0_2000_04_07",0,0,"Monts Kouffe",4,2000,2000-04-07,"Day","Day",0,0,0,0
45,"0_2000_04_08",0,0,"Monts Kouffe",4,2000,2000-04-08,"Day","Day",0,0,0,0
46,"0_2000_04_09",0,0,"Monts Kouffe",4,2000,2000-04-09,"Night","Night",0,0,0,0
47,"0_2000_04_10",0,0,"Monts Kouffe",4,2000,2000-04-10,"Day","Day",0,0,0,0
48,"0_2000_04_11",0,0,"Monts Kouffe",4,2000,2000-04-11,"Night","Night",0,0,0,0
49,"0_2000_04_12",0,0,"Monts Kouffe",4,2000,2000-04-12,"Day","Day",0,0,0,0
50,"0_2000_04_13",0,0,"Monts Kouffe",4,2000,2000-04-13,"Day","Day",0,0,0,0
51,"0_2000_04_14",0,0,"Monts Kouffe",4,2000,2000-04-14,"Day","Day",0,0,0,0
52,"0_2000_04_15",0,0,"Monts Kouffe",4,2000,2000-04-15,"Day","Day",0,0,0,0
53,"0_2000_04_16",0,0,"Monts Kouffe",4,2000,2000-04-16,"Night","Night",0,0,0,0
54,"0_2000_04_17",0,0,"Monts Kouffe",4,2000,2000-04-17,"Day","Day",0,0,0,0
55,"0_2000_04_18",0,0,"Monts Kouffe",4,2000,2000-04-18,"Day","Day",0,0,0,0
56,"0_2000_04_19",0,0,"Monts Kouffe",4,2000,2000-04-19,"Day","Day",0,0,0,0
57,"0_2000_04_20",0,0,"Monts Kouffe",4,2000,2000-04-20,"Day","Day",0,0,0,0
58,"0_2000_04_21",0,0,"Monts Kouffe",4,2000,2000-04-21,"Day","Day",0,0,0,0
59,"0_2000_04_22",0,0,"Monts Kouffe",4,2000,2000-04-22,"Day","Day",0,0,0,0
60,"0_2000_04_23",0,0,"Monts Kouffe",4,2000,2000-04-23,"Day","Day",0,0,0,0
61,"0_2000_04_24",0,0,"Monts Kouffe",4,2000,2000-04-24,"Day","Day",0,0,0,0
62,"0_2000_04_25",0,0,"Monts Kouffe",4,2000,2000-04-25,"Night","Night",0,0,0,0
63,"0_2000_04_26",0,0,"Monts Kouffe",4,2000,2000-04-26,"Night","Night",0,0,0,0
64,"0_2000_04_27",0,0,"Monts Kouffe",4,2000,2000-04-27,"Night","Night",0,0,0,0
65,"0_2000_04_28",0,0,"Monts Kouffe",4,2000,2000-04-28,"Night","Night",0,0,0,0
66,"0_2000_04_29",0,0,"Monts Kouffe",4,2000,2000-04-29,"Day","Day",0,0,0,0
67,"0_2000_04_30",0,0,"Monts Kouffe",4,2000,2000-04-30,"Day","Day",0,0,0,0
68,"0_2000_05_01",0,0,"Monts Kouffe",5,2000,2000-05-01,"Day","Day",0,0,0,0
69,"0_2000_05_02",0,0,"Monts Kouffe",5,2000,2000-05-02,"Night","Night",0,0,0,0
70,"0_2000_05_03",0,0,"Monts Kouffe",5,2000,2000-05-03,"Day","Day",0,0,0,0
71,"0_2000_05_04",0,0,"Monts Kouffe",5,2000,2000-05-04,"Day","Day",0,0,0,0
72,"0_2000_05_05",0,0,"Monts Kouffe",5,2000,2000-05-05,"Day","Night",0,0,0,0
73,"0_2000_05_06",0,0,"Monts Kouffe",5,2000,2000-05-06,"Day","Day",0,0,0,0
74,"0_2000_05_07",0,0,"Monts Kouffe",5,2000,2000-05-07,"Day","Day",0,0,0,0
75,"0_2000_05_08",0,0,"Monts Kouffe",5,2000,2000-05-08,"Day","Day",0,0,0,0
76,"0_2000_05_09",0,0,"Monts Kouffe",5,2000,2000-05-09,"Day","Day",0,0,0,0
77,"0_2000_05_10",0,0,"Monts Kouffe",5,2000,2000-05-10,"Day","Day",0,0,0,0
78,"0_2000_05_11",0,0,"Monts Kouffe",5,2000,2000-05-11,"Night","Night",0,0,0,0
79,"0_2000_05_12",0,0,"Monts Kouffe",5,2000,2000-05-12,"Day","Day",0,0,0,0
80,"0_2000_05_13",0,0,"Monts Kouffe",5,2000,2000-05-13,"Night","Night",0,0,0,0
81,"0_2000_05_14",0,0,"Monts Kouffe",5,2000,2000-05-14,"Day","Day",0,0,0,0
82,"0_2000_05_15",0,0,"Monts Kouffe",5,2000,2000-05-15,"Day","Night",0,0,0,0
83,"0_2000_05_16",0,0,"Monts Kouffe",5,2000,2000-05-16,"Day","Day",0,0,0,0
84,"0_2000_05_17",0,0,"Monts Kouffe",5,2000,2000-05-17,"Day","Day",0,0,0,0
85,"0_2000_05_18",0,0,"Monts Kouffe",5,2000,2000-05-18,"Night","Night",0,0,0,0
86,"0_2000_05_19",0,0,"Monts Kouffe",5,2000,2000-05-19,"Day","Day",0,0,0,0
87,"0_2000_05_20",0,0,"Monts Kouffe",5,2000,2000-05-20,"Day","Day",0,0,0,0
88,"0_2000_05_21",0,0,"Monts Kouffe",5,2000,2000-05-21,"Day","Day",0,0,0,0
89,"0_2000_05_22",0,0,"Monts Kouffe",5,2000,2000-05-22,"Night","Night",0,0,0,0
90,"0_2000_05_23",0,0,"Monts Kouffe",5,2000,2000-05-23,"Day","Day",0,0,0,0
91,"0_2000_05_24",0,0,"Monts Kouffe",5,2000,2000-05-24,"Day","Day",0,0,0,0
92,"0_2000_05_25",0,0,"Monts Kouffe",5,2000,2000-05-25,"Day","Day",0,0,0,0
93,"0_2000_05_26",0,0,"Monts Kouffe",5,2000,2000-05-26,"Day","Day",0,0,0,0
94,"0_2000_05_27",0,0,"Monts Kouffe",5,2000,2000-05-27,"Night","Night",0,0,0,0
95,"0_2000_05_28",0,0,"Monts Kouffe",5,2000,2000-05-28,"Day","Day",0,0,0,0
96,"0_2000_05_29",0,0,"Monts Kouffe",5,2000,2000-05-29,"Night","Night",0,0,0,0
97,"0_2000_05_30",0,0,"Monts Kouffe",5,2000,2000-05-30,"Night","Night",0,0,0,0
98,"0_2000_05_31",0,0,"Monts Kouffe",5,2000,2000-05-31,"Night","Night",0,0,0,0
99,"0_2000_06_01",0,0,"Monts Kouffe",6,2000,2000-06-01,"Day","Day",0,0,0,0
100,"0_2000_06_02",0,0,"Monts Kouffe",6,2000,2000-06-02,"Day","Day",0,0,0,0
101,"0_2000_06_03",0,0,"Monts Kouffe",6,2000,2000-06-03,"Night","Night",0,0,0,0
102,"0_2000_06_04",0,0,"Monts Kouffe",6,2000,2000-06-04,"Day","Day",0,0,0,0
103,"0_2000_06_05",0,0,"Monts Kouffe",6,2000,2000-06-05,"Day","Night",0,0,0,0
104,"0_2000_06_06",0,0,"Monts Kouffe",6,2000,2000-06-06,"Day","Day",0,0,0,0
105,"0_2000_06_07",0,0,"Monts Kouffe",6,2000,2000-06-07,"Day","Day",0,0,0,0
106,"0_2000_06_08",0,0,"Monts Kouffe",6,2000,2000-06-08,"Night","Night",0,0,0,0
107,"0_2000_06_09",0,0,"Monts Kouffe",6,2000,2000-06-09,"Day","Day",0,0,0,0
108,"0_2000_06_10",0,0,"Monts Kouffe",6,2000,2000-06-10,"Day","Day",0,0,0,0
109,"0_2000_06_11",0,0,"Monts Kouffe",6,2000,2000-06-11,"Night","Night",0,0,0,0
110,"0_2000_06_12",0,0,"Monts Kouffe",6,2000,2000-06-12,"Night","Night",0,0,0,0
111,"0_2000_06_13",0,0,"Monts Kouffe",6,2000,2000-06-13,"Day","Day",0,0,0,0
112,"0_2000_06_14",0,0,"Monts Kouffe",6,2000,2000-06-14,"Night","Night",0,0,0,0
113,"0_2000_06_15",0,0,"Monts Kouffe",6,2000,2000-06-15,"Day","Day",0,0,0,0
114,"0_2000_06_16",0,0,"Monts Kouffe",6,2000,2000-06-16,"Day","Day",0,0,0,0
115,"0_2000_06_17",0,0,"Monts Kouffe",6,2000,2000-06-17,"Day","Day",0,0,0,0
116,"0_2000_06_18",0,0,"Monts Kouffe",6,2000,2000-06-18,"Day","Day",0,0,0,0
117,"0_2000_06_19",0,0,"Monts Kouffe",6,2000,2000-06-19,"Night","Night",0,0,0,0
118,"0_2000_06_20",0,0,"Monts Kouffe",6,2000,2000-06-20,"Day","Day",0,0,0,0
119,"0_2000_06_21",0,0,"Monts Kouffe",6,2000,2000-06-21,"Day","Day",0,0,0,0
120,"0_2000_06_22",0,0,"Monts Kouffe",6,2000,2000-06-22,"Night","Night",0,0,0,0
121,"0_2000_06_23",0,0,"Monts Kouffe",6,2000,2000-06-23,"Day","Day",0,0,0,0
122,"0_2000_06_24",0,0,"Monts Kouffe",6,2000,2000-06-24,"Day","Day",0,0,0,0
123,"0_2000_06_25",0,0,"Monts Kouffe",6,2000,2000-06-25,"Day","Day",0,0,0,0
124,"0_2000_06_26",0,0,"Monts Kouffe",6,2000,2000-06-26,"Day","Day",0,0,0,0
125,"0_2000_06_27",0,0,"Monts Kouffe",6,2000,2000-06-27,"Night","Night",0,0,0,0
126,"0_2000_06_28",0,0,"Monts Kouffe",6,2000,2000-06-28,"Night","Night",0,0,0,0
127,"0_2000_06_29",0,0,"Monts Kouffe",6,2000,2000-06-29,"Day","Day",0,0,0,0
128,"0_2000_06_30",0,0,"Monts Kouffe",6,2000,2000-06-30,"Day","Day",0,0,0,0
129,"0_2000_07_01",0,0,"Monts Kouffe",7,2000,2000-07-01,"Day","Day",0,0,0,0
130,"0_2000_07_02",0,0,"Monts Kouffe",7,2000,2000-07-02,"Day","Day",0,0,0,0
131,"0_2000_07_03",0,0,"Monts Kouffe",7,2000,2000-07-03,"Day","Day",0,0,0,0
